"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3326659#1","CONTECON","38AV7C","27/09/2023","11:00","20 DC / 2738.38 KG","TRHU1805760","23-16-3719-3022626","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C/63UM9E","1056-2","SLTC","ENTREGADO","28/09/2023","S 573","CCP 167","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","RB GROUP","583081C","SSA","","27/09/2023","9:00","20 DC / 24840 KG","TCLU2435377","23-16-3171-3002026","THERMOTEK","MANZANILLO","MONTERREY","PABLO","38AV7C/31US5W","1056-1","CIMA","ENTREGADO","28/09/2023","S 572","CCP 166","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","------","SSA","-------","----------","-----","40 HC / 14499.600 KG","CAAU5278694","23-16-3957-3001978","APLI. METALURGICAS","MANZANILLO","GUADALAJARA","RAMON","64AK5A / 43UM1X","1055","SSA","ENTREGADO","28/09/2023","S 571","CCP 165","","","","","","","","","","","","","","",""
"","GUSTAVO","------","------","-----","-------","----------","-----","2 PALLETS / 4560 KG","CARGA SUELTA","23-16-3623-3004690","M&G POLIMEROS","MANZANILLO","TAMAULIPAS","JOSE ","93AP1E","1057","-------","ENTREGADO","02/10/2023","EFECTIVO","N/C","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4143812","OCUPA","64AK5A","30/09/2023","5:00","20 DC / 12450 KG / 12792 KG","CSLU2347141/TEMU4598299","23-16-3957-3001935","LAVISA","MANZANILLO","QUERETARO","RAMON","64AK5A","1058-2","TIMSA","ENTREGADO","02/10/2023","S 574","CCP 168","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","622224V","TIMSA","21AX4Y","02/10/2023","9:00","40 HC / 1780 KG  / EMCMCD9593","TRHU7070858","23-16-3719-3024193","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C/16UP6N","1059","CIMA","ENTREGADO","03/10/2023","S 575","CCP 169","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - SERGIO","WELLDEX","596235C","SSA","21AX4Y","03/10/2023","13:00","40 HC / 15590.400 KG","MRSU3839936","23-16-3200-3016302","KARCHER","MANZANILLO","MONTERREY","RAMON","64AK5A/43UM1X","1060","ALSECONT","ENTREGADO","04/10/2023","S 576","CCP 170","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4157260","OCUPA","21AX4Y","06/10/2023","17:00","20 DC / 16880 KG","CSNU1254904","23-16-3957-3002138","AUDITIVOS Y PROD QUIMICOS","MANZANILLO","GUADALAJARA","RUBEN","21AX4Y / 31US5W","1061","ISL","ENTREGADO","09/10/2023","S 578","CCP 171","","","","","","","","","","","","","","",""
"","EXIMICS","CORP. ASESORES INTERNACIONALES","195265F","SSA","21AX4Y","07/10/2023","12:00","40 HC / 20500 KG","MRSU3740157/MSKU0583773","23-16-3489-3002674","CORP. SOLES","MANZANILLO","GUADALAJARA","PABLO","38AV7C / 16UP6N, 63UM9E","1062-2","SSA","ENTREGADO","08/10/2023","S 577","CCP 172","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","610701C","SSA","38AV7C","09/10/2023","5:00","40 HC / 13000 KG","BSIU9950700","23-16-3957-3002069","REVOIR SERVICES","MANZANILLO","GUADALAJARA","RAMON","64AK5A / 10UL5N","1063","TIMSA","ENTREGADO","10/10/2023","S 579","CCP 174","","","","","","","","","","","","","","",""
"","PAK2GO","GRUPO CARGOQUIN","3348437","CONTECON","64AK5A","09/10/2023","13:00","40 DC / 11500 KG","CMAU9124120","23-16-1660-3000995","FLEXPORT","MANZANILLO","MONTERREY","PABLO","38AV7C","1066-2","CONTECON","ENTREGADO","12/10/2023","S 581","CCP 177","","","","","","","","","","","","","","",""
"","LESLY VALDEZ","-----","-----","ACCESA","93AP1E","09/10/2023","-----"," 1988 KG","CARGA SUELTA","------------------","YAZAKI","MANZANILLO","SILAO, GTO","JOSE ","93AP1E","1064 / CTA TERCEROS  1064","----","ENTREGADO","10/10/2023","S 580","CCP 173","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","612254C","SSA","21AX4Y","10/10/2023","6:00","20 DC / 8479 KG","TEMU1099676","23-16-3957-3002153","GRUPO FITMOR","MANZANILLO","MEXICO","ANTONIO PRECIADO","21AX4Y","1065","IMPALA","ENTREGADO","11/10/2023","S 582","CCP 175","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","623884V","TIMSA","64AK5A","11/10/2023","15:00","40 HC / 5589 KG / EMCUZR6862","EGHU9865590","23-16-3719-3023436","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C","1066-1","CIMA","ENTREGADO","12/10/2023","S 583","CCP 176","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","4162120","TIMSA","64AK5A","12/10/2023","8:00","20 DC / 4545.5 KG / BDE21945703","PCIU1155178","23-16-3708-3001260","ARGO","MANZANILLO","QUERETARO","RAMON","64AK5A","1067","YAVA","ENTREGADO","13/10/2023","S 584","CCP 178","","","","","","","","","","","","","","",""
"","LESLY VALDEZ","-----","-----","ACCESA","87AT7G","14/10/2023","11:00","1894 KG","CARGA SUELTA","------------------","YAZAKI","MANZANILLO","SILAO, GTO","RENE","87AT7G","CTA TERCEROS 1068","-------","ENTREGADO","16/10/2023","S 585","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","3356492","CONTECON","21AX4Y","16/10/2023","7:00","20 DC / 5240 KG / SELLO: F264558","FCIU4794758","23-16-3200-3017213","KARCHER","MANZANILLO","MONTERREY","ANTONIO PRRECIADO","21AX4Y / 31US5W","1069","TIMSA","ENTREGADO","17/10/2023","S 586","CCP 179","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","4167362","OCUPA","64AK5A","17/10/2023","17:00","20 DC / 3651.5 KG / BDE21945708","PCIU1074538","23-16-3708-3001276","ARGO","MANZANILLO","QUERETARO","RAMON","64AK5A/43UM1X","-------","QUEMADA","------------","18/10/2023","----","-----","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","631066C","SSA","64AK5A","18/10/2023","9:00","40 HC / 20397.960 KG ","TCKU6724072","23-16-3200-3017278","","MANZANILLO","MONTERREY","PABLO","38AV7C / 43UM1X","1071-1","SSA","ENTREGADO","19/10/2023","S 587","CCP 181","","","","","","","","","","","","","","",""
"","PRIMO","SERVICIOS ADUANALES","3371186","CONTECON","21AX4Y","18/10/2023","15:00","20 DC / 18000 KG / 22921130","CSLU2337647","23-16-3931-3006767","CONTINENTAL TIRE","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C / 31US5W","1071-2","CIMA","ENTREGADO","19/10/2023","E 1","CCP 182","","","","","","","","","","","","","","",""
"","LESLY VALDEZ","-----","-----","ACCESA","41AP8Y","18/10/2023","15:00","2678.58 KG","CARGA SUELTA","------------------","ARNECOM","MANZANILLO","CHIAPAS"," MARCELINO MANDANA"," 27BB4F","CTA TERCEROS 1073","------","ENTREGADO","23/10/2023","s 593","CI","","","","","","","","","","","","","","",""
"","EXIMICS","CORPORACION ADUANAL","632792","SSA","21AX4Y","18/10/2023","18:00","40 HC / 24931 KG / CN04612AE","KKFU8037513","23-16-1791-3005203","AMERISA","MANZANILLO","MEXICO","RAMON","64AK5A / 10UL5N","-------","QUEMADA","------------","19/10/2023","-----","CCP 183","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","","OCUPA","64AK5A","18/10/2023","15:00","20 DC / 3651.5 KG / BDE21945708","PCIU1074538","23-16-3708-3001276","ARGO","MANZANILLO","QUERETARO","RAMON","64AK5A / 59UP9N","1070-1","IMPALA","ENTREGADO","19/10/2023","S 588","CCP 180","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","626765V","TIMSA","21AX4Y","19/10/2023","12:00","40 HC / 6726 KG / EMCUZQ4502","EISU8570479","23-16-3719-3024191","KARCHER","MANZANILLO","MONTERREY","ANTONIO PRECIADO","21AX4Y / 16UP6N","1072","CIMA","ENTREGADO","20/10/2023","S 589","CCP 184","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","3373744","CONTECON","64AK5A","20/10/2023","6:00","40 HC / 6248.26 KG  / 6248.26 KG","OOCU7658484/CSLU6043276","23-16-1681-3003982","HYUNDAI","MANZANILLO","MONTERREY","PABLO","38AV7C / 59UP9N, 10UL5N","1074-2","CIMA","ENTREGADO","23/10/2023","S 591","CCP 185","","","","","","","","","","","","","","",""
"","EXIMICS","CORPORACION ADUANAL","638149C","SSA","64AK5A","20/10/2023","19:00","40 HC / 24931 KG / CN04612AE","KKFU8037513","23-16-1791-3005203","ALMACENADORA MODERNA","MANZANILLO","MEXICO","RAMON","64AK5A / 63UM9E","1075","CIMA","ENTREGADO","23/10/2023","S 590","CCP 183","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","627345V","TIMSA","21AX4Y","23/10/2023","7:00","40 HC / 2736.400 KG / EMCUZG6862","MAGU5417943","23-16-3708-3001289","ARGO","MANZANILLO","QUERETARO","JORGE","16UP9N","1076","CIMA","ENTREGADO","25/10/2023","S 592","CCP 186","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3378336","CONTECON","21AX4Y","24/10/2023","10:00","20 DC / 2770.77 KG / C9961231","APZU3355410","23-16-3719-3024213","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C/31US5W","1077","CONTECON","ENTREGADO","25/10/2023","S 594","CCP 187","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS -  DIEGO","PEDRO MARTINEZ","8603973","SSA","64AK5A","25/10/2023","9:00","22 BULTOS  / 6832 KG / INT3583348","CARGA SUELTA","23-16-3957-3002335","INGERSOLL","MANZANILLO","MONTERREY","RAMON ","64AK5A /63UM9E","1078-1","-----","ENTREGADO","27/10/2023","S 599","CCP 190","","","","","","","","","","","","","","",""
"","SLA - AARON","AA. AMERICA","695134","LA JUNTA","30BA6K","25/10/2023","13:00","5 BULTOS / 174 KG / INT3583343","CARGA SUELTA","23-16-3573-3008609","MANUFACTURERA DE REACTORES ","MANZANILLO","MEXICO","JOSE ","30BA6K","1079","-----","ENTREGADO","26/10/2023","S 595","CCP 188","","","","","","","","","","","","","","",""
"","GERMAN ISLAS","-----","------","ACCESA","01AL2W","25/10/2023","16:00","11 PALLETS / 1653.7 KG","CARGA SUELTA","--------","YAZAKI","MANZANILLO","SILAO","MARTIN LOZA","01AL2W","CTA TERCEROS 1080","-----","ENTREGADO","26/10/2023","S 596","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","648699C","SSA","64AK5A","26/10/2023","4:00","20 DC / 9271.800 KG","SUDU7404620","23-16-3200-3017970","KARCHER","MANZANILLO","MONTERREY","RAMON ","64AK5A/ 43UM1X","1078-2","CIMA","ENTREGADO","27/10/2023","S 598","CCP 189","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","649631C","SSA","21AX4Y","26/10/2023","7:00","40 HC / 15590.400 KG","MSKU8468930","23-16-3200-3018059","KARCHER","MANZANILLO","MONTERREY","ENRIQUE","21AX4Y / 16UP9N","1086-1","ALSECONT","ENTREGADO","30/10/2023","S 602","CCP 192","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","8605498","SSA","FF85175","26/10/2023","7:00","4 CAJAS /  2372 KG","CARGA SUELTA","23-16-3200-3017630","KARCHER","MANZANILLO","MONTERREY","QUEMADA","-----","-----","QUEMADA","ENTREGADO","------","----","------","","","","","","","","","","","","","","",""
"","SLA - AARON","AA. AMERICA","8605851","SSA","26AR7M","26/10/2023","9:00","6 BULTOS / 4153 KG","CARGA SUELTA","23-16-3573-3008575","TFV MEXICO","MANZANILLO","MEXICO","ARIEL","26AR7M","CTA TERCEROS 1082","------","ENTREGADO","27/10/2023","S 597","CI","","","","","","","","","","","","","","",""
"","GERMAN ISLAS","-----","-----","ACCESA","30BA6K","26/10/2023","---","2 CAJAS - 1 PALLET / 162 KG","CARGA SUELTA","--------","YAZAKI","MANZANILLO","MONTERREY","ENRIQUE","30BA6K","1081","------","ENTREGADO","27/10/2023","S 600","CCP 191","","","","","","","","","","","","","","",""
"","GERMAN ISLAS","-----","-----","ACCESA","48AP9D","26/10/2023","---","12 PALLETS / 6934 KG","CARGA SUELTA","--------","YAZAKI","MANZANILLO","DURANGO","EDSON AGUSTIN","48AP9D","CTA TERCEROS 1083","------","ENTREGADO","27/10/2023","S 601","CI","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","3391792","CONTECON","21AX4Y","26/10/2023","18:00","40 HC / 12496.520 KG","TRHU8738535/OOLU9289669","23-16-1681-3004037","HYUNDAI","MANZANILLO","MONTERREY","PABLO"," 38AV7C / 10UL5N-59UP9N","1085-2","CIMA","ENTREGADO","30/10/2023","S  603","CCP 193","","","","","","","","","","","","","","",""
"","GERMAN ISLAS","-----","-----","ACCESA","92AZ8D","27/10/2023","---"," 2 PALLETS - 4 CAJAS / 828 KG","CARGA SUELTA","--------","YAZAKI","MANZANILLO","SONORA","ANTONIO FRANCO","92AZ8D","CTA TERCEROS 1084","------","ENTREGADO","30/10/2023","S 604","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","9180934","CONTECON","21AX4Y","27/10/2023","8:00","20 DC / 4480.190 KG / VPD210212243","DFSU1227121","23-16-3200-3018129","KARCHER","MANZANILLO","MONTERREY","RAMON","64AK5A / 63UM1X","1087-1","ISL","ENTREGADO","30/10/2023","S 605","CCP 194","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","8608384","SSA","387CG6","27/10/2023","10:00","4 CAJAS /  2372 KG","CARGA SUELTA","23-16-3200-3017630","KARCHER","MANZANILLO","MONTERREY","RAMON","64AK5A / 43UM1X","1087-2","------","ENTREGADO","30/10/2023","S 606","CCP 195","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","PEDRO MARTINEZ","698664","TAP","21AX4Y","28/10/2023","5:00","17 CAJAS / 8383 KG","CARGA SUELTA","23-16-3957-3002335","INGERSOLL","MANZANILLO","MONTERREY","ENRIQUE","21AX4Y/ 31US5W","1086-2","------","ENTREGADO","30/10/2023","S 607","CCP 196","","","","","","","","","","","","","","",""
"","GERMAN ISLAS","-----","----","ACCESA","30BA6K","30/10/2023","9:00","1 PALLET - 39 CAJAS","CARGA SUELTA","------------------","YAZAKI","MANZANILLO","SILAO","JOSE ","30BA6K","1088","------","ENTREGADO","31/10/2023","S 608","CCP 197","","","","","","","","","","","","","","",""
"","JORGE OZORIO -LOGISTIC PLUS","RB GROUP","4958751","CONTECON","88BB3F","30/10/2023","7:00","40HC / 7530 KG / CEM212684022","OOCU8015564","23-16-3171-3002285","THERMOTEK","MANZANILLO","MONTERREY","JUAN LOZADA","23AR8Y"," CTA TERCEROS 1089","CIMA","ENTREGADO","31/10/2023","S 610","CI","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","84509","MULTIMODAL","71AG1M","30/10/2023","9:00","4 BULTOS / 1580 KG / BDE21945707","CARGA SUELTA","23-16-3708-3001325","ARGO","MANZANILLO","QUERETARO","ALBERTO BERNAL","71AG1M","CTA TERCEROS 1090","------","ENTREGADO","31/10/2023","S 609","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS- DIEGO","WELLDEX","4957975","CONTECON","88BB3F","30/10/2023","13:00"," 20 DC / 16473 KG / VPD210212457","TGCU0044570","23-16-3200-3018202","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1091-1","CONTECON","ENTREGADO","01/11/2023","S 611","CCP 198","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","628796V","TIMSA","38AV7C","31/10/2023","10:00","20 DC / 2577 KG / EMCUZC2682","EITU0431315","23-16-3719-3026378","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1091-2","CIMA","ENTREGADO","01/11/2023","S 612","CCP 199","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","660027C","SSA","598AS3","01/11/2023","7:00","40 HC / 21630.3 KG ","NYKU0764420","23-16-3957-3002264","PLASTIGLAS","MANZANILLO","SAN LUIS POTOSI","ENRIQUE ","21AX4Y / 16UP9N","1093","CIMA","ENTREGADO","06/11/2023","S 613","CCP 201","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","213355F","SSA","64AK5A","01/10/2023","7:00","20 DC -17559.560 KG /40 HC - 20522.280 KG","CXDU1576012/ONEU0182093","23-16-3957-3002241","PLASTIGLAS","MANZANILLO","MEXICO","RAMON ","64AK5A / 63UM9E-43UM1X","1092-2","CIMA","ENTREGADO","03/11/2023","S 614","CCP 200","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3398431","CONTECON","38AV7C","03/11/2023","13:00","20 DC / 2484.490 KG / R0572671S","TCLU3972093","23-16-3719-3024496","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 31US5W","1094","SLTC 6:30 PM","ENTREGADO","04/11/2023","S 615","CCP 202","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","PEDRO MARTINEZ","704784","TAP","64AK5A","06/11/2023","13:00","11 BULTOS / 4693 KG / ","CARGA SUELTA","23-16-3957-3002415","INGERSOLL","MANZANILLO","MONTERREY","RAMON","64AK5A / 10UL5N","1095","------","ENTREGADO","07/11/2023","S 616","CCP 203","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3405425","CONTECON","38AV7C","07/10/2023","8:00","40 HC / 4399.620 KG / AAA211854526","DRYU4204710","23-16-3719-3024665","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 63UM9E","1096","CONTECON","ENTREGADO","08/11/2023","S 617","CCP 204","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","3406577","CONTECON","21AX4Y","08/11/2023","8:00","40 HC / 6248.260 KG / 25816974","TCNU5165098","23-16-1681-3004076","RECIMTY TECH","MANZANILLO","MONTERREY","SANTIAGO","21AX4Y / 43UM1X","1097-1","CIMA","ENTREGADO","10/11/2023","S 618","CCP 205","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DIEGO","WELLDEX","676472C","SSA","21AX4Y","09/11/0202","9:00","40 HC / 18080 KG ","MRKU2610768","23-16-3200-3018598","KARCHER","MANZANILLO","MONTERREY","SANTIAGO","21AX4Y / 16UP6N","1097-2","ALSECONT","ENTREGADO","10/11/2023","S 619","CCP 206","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","707869","TAP","FE9713A","09/11/2023","11:00"," 1 PALLET / 845.300 KG ","CARGA SUELTA","23-16-3010-3003927","TAURUS","MANZANILLO","QUERETARO","ENRIQUE","FE9713A","1098","------","ENTREGADO","10/11/2023","S 620","CCP 207","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS- DANIELA","NAD INTERNATIONAL","3411602","CONTECON","38AV7C","13/10/2023","8:00","40 HC / 15630 KG /15630 KG","TTNU5918620/MSDU4426627","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","----------------","------------------","--------------","QUEMADA","--------------","------------","","","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3411613","CONTECON","21AX4Y","13/11/2023","8:00","40 HC / 15630 KG / 15630 KG","MSDU4057180/CAIU4114467","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","----------------","------------------","--------------","QUEMADA","--------------","------------","","","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANELA","NAD INTERNATIONAL","3411610","CONTECON","21AX4Y","13/10/2023","8:00","40 HC / 15630 KG / 15630 KG","TTNU5539837/HJMU4988334","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","PABLO","38AV7C / 63UM9E- 43UM1X","1100-2","ISL","ENTREGADO","14/11/2023","S 622","CCP 208","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3411602#1","CONTECON","64AK5A","14/11/2023","16:00","40 HC / 15630 KG /15630 KG","TTNU5918620/MSDU4426627","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","SANTIAGO","21AX4Y /16UP6N ,10UL5N","1101-2","ISL","ENTREGADO","15/11/2023","S 623","CCP 209","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3411613#1","CONTECON","64AK5A","15/11/2023","11:00","40 HC / 15630 KG / 15630 KG","MSDU4057180/CAIU4114467","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","RAMON","64AK5A/59UP9N,","1099-2","ISL","ENTREGADO","16/11/2023","S 624","CCP 210","","","","","","","","","","","","","","",""
"","REAL SHIPPING - MONI","GAMAS GLOBAL LOGISTIC","225132F","SSA","21AX4Y","17/11/2023","5:00","40 HC /18798 KG / 18798 KG","MRSU5234522/MRSU4842894","23-16-3711-3020038","DSV SOLUTIONS","MANZANILLO","MONTERREY","RAMON","64AK5A / 59UP9N,63UM9E","1104-2","ALSECONT","ENTREGADO","21/11/2023","S 629","CCP 215","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","632355V","TIMSA","WH6984A","17/11/2023","9:00","20 DC / 1891 KG / BDE21945706","DRYU2248869","23-16-3708-3001395","ARGO","MANZANILLO","QUERETARO","PABLO","38AV7C / 31US5W","1102","CIMA ASIPONA","ENTREGADO","18/11/2023","S 627","CCP 211","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4235548","OCUPA","38AV7C","17/11/2023","11:00","20 DC / 24167.2 / 23148.9 KG","WHSU2330923/WHSU2862839","23-16-3957-3001989 /3957-3001983","LAVISA","MANZANILLO","QUERETARO","PABLO","38AV7C/ 10UL5N, 31US5W","1103-2","OCUPA 22 NOV 7 PM","ENTREGADO","21/11/2023","S 625 / S 626","CCP 212 / 213","","","","","","","","","","","","","","",""
"","REAL SHIPPING -  MONI","GAMAS GLOBAL LOGISTIC","225130F","SSA","21AX4Y","17/11/2023","15:00","40 HC /18798 KG /18798 KG","MRKU4353946/MSKU1951735","23-16-3711-3020038","DSV SOLUTIONS","MANZANILLO","MONTERREY","JOSE ALFREDO -OGM","29AZ8D"," CTA TERCEROS 1105-2","ALSECONT","ENTREGADO","22/11/2023","S 630","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3419592","CONTECON","21AX4Y","18/11/2023","6:00","40 HC / 15630 KG / FJ19097046","MSDU4080236","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","PABLO","38AV7C / ","1107-1","ISL","ENTREGADO","22/11/2023","S 631","CCP 216","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","3416442","CONTECON","21AX4Y","18/11/2023","9:00","40 HC / 12496.520 KG","OOCU7323053/TCNU1694489","23-16-1681-3004137","RECIMTY TECH","MANZANILLO","MONTERREY","CARLO INES - LUIS EDU (URGENTE)","78AZ3E","CTA TERCEROS 1106","CIMA PRINCIPAL","ENTREGADO","22/11/2023","S 628","CCP 214","","RESCATE","","","","","","","","","","","","",""
"","JORGE CRUZ -REAL SHIPPING","RB GROUP","700479C","SSA","41AX7N","21/11/2023","8:00","40 HC / 7530 KG","MRKU3740302","23-16-3171-3002539","THERMOTEK","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1107-2","SSA TERMINAL","ENTREGADO","22/11/2023","S 632","CCP 217","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","633228V","TIMSA","15AL6J","22/11/2023","18:00","20 DC / 6450 KG / BDE21965110","TCLU3799286","23-16-3708-3001407","ARGO","MANZANILLO","QUERETARO","GERMAN - TEJEDA","15AL6J","CTA TERCEROS 1109","CIMA ASIPONA","ENTREGADO","23/11/2023","S 634","CI","","","","","","","","","","","","","","",""
"","LESLY VALDEZ","------------","-------","ACCESA","84BA1K","22/11/2023","10:30","10 PALLETS -10 CARTONES / 2563.36 KG","CARGA SUELTA","------------------","YAZAKI","MANZANILLO","SILAO","JORGE LUIS -GO EXPRESS","84BA1K","CTA TERCEROS 1108","-------","ENTREGADO","23/11/2023","S 633","CI","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","633380V","TIMSA","93BB3F","23/11/2023","6:00","40 HC / 1880 KG / EMCPJL9503","MAGU5398545","23-16-3719-3027664","PANASONIC","MANZANILLO","MONTERREY","RAMON","64AK5A/63UM9E","1110","CIMA ASIPONA","ENTREGADO","24/11/2023","S 635","CCP 218","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","633948V","TIMSA","21AX4Y","25/11/2023","12:00","40 HC /  7400 KG / EMCLXA5183","EGHU9181746","23-16-3719-3027427","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1111","CIMA ASIPONA","ENTREGADO","26/11/2023","S 636","CCP 219","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS- DANIELA","NAD INTERNATIONAL","3430301","CONTECON","64AK6A","27/11/2023","17:00","40 HC / 15660 KG / 15660 KG","UETU4136872/UETU4119345","23-16-3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","RAMON","64AK5A / 59UP9N, 63UM9E","1112","CIMA ASIPONA","ENTREGADO","28/11/2023","S 637","CCP 220","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3430299","CONTECON","21AX4Y","27/11/2023","17:00","40 HC / 15660 KG / 15660 KG","MOFU6728626/MOFU6755093","23-16.3949-3014162","NAVISTAR","MANZANILLO","MONTERREY","SANTIAGO","21AX4Y / 89UE1A,14UF3Y","1113","CIMA ASIPONA","ENTREGADO","28/11/2023","S 638","CCP 221","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","PEDRO MARTINEZ","631564B","TIMSA","26AR7M","29/11/2023","8:00","12 BULTOS / 4162 KG","CARGA SUELTA","23-16-3957-3002549","INGERSOLL","MANZANILLO","MONTERREY","MARTIN LOZA","26AR7M","CTA TERCEROS 1114","-------","ENTREGADO","30/11/2023","S 641","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA ","WELLDEX","3434157","CONTECON","38AV7C","29/11/2023","14:00","40 HC / 17520 KG / VPD210225002","DFSU7086205","23-16-3200-3019373","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C / 63UM9E","1115-2","TIMSA","ENTREGADO","01/12/2023","S 639 / s 642","CCP 223","","","","","","","","","","","","","","",""
