"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"18","LOGISTIC PLUS - DIEGO","UNITRADE","4555437","SSA","14AS4V","12/5/2022","4:00","40 HC/17.96 TON","HLBU3164110","22-16-3451-2004589","DAIKIN","MANZANILLO","SAN LUIS POTOSI","FIDEL","64AK5A","612","SSA","ENTREGADO","14/05/2022","I 166","","","","","","","","","","","","","","","",""
"19","WELLINGTON","RB GROUP","52554","MULTIMODAL","26AT8L","12/5/2022","7:00","4,372 KG","CARGA SUELTA","22-16-3708-2000478","ARGO","MANZANILLO","QUERETARO","JESUS MENDOZA","26AT8L","CTA TERCEROS 610","------","ENTREGADO","13/05/2022","I 164","","","","","","","","","","","","","","","",""
"20","LOGISTIC PLUS - DIEGO","RB GROUP","522014V","TIMSA","93AF9X","12/5/2022","5:00","40 DC/ 7.73 TON","CSNU7246634","22-16-3171-2001006","THERMOTECK","MANZANILLO","MONTERREY","ISMAEL HERNADEZ","93AF9X","CTA TERCEROS 608","CIMA","ENTREGADO","16/05/2022","I 169","","","","","","","","","","","","","","","",""
"21","LOGISTIC PLUS - DIEGO","UNITRADE","547658","TIMSA","73AU5R","13/5/2022","10:00","9,458.55 KG","S00372458/CARGA SUELTA","22-16-3451-2004247","DAIKIN","MANZANILLO","SAN LUIS POTOSI","SIGIFREDO","73AU5R","CTA TERCEROS 613","------","ENTREGADO","14/05/2022","I 167","","","","","","","","","","","","","","","",""
"22","REAL SHIPPING - MONI","JOFFROY","3393791","FRIGORIFICO","98AF9K","13/5/2022","14:00","8,498 KG","S00003677/CARGA SUELTA","22-16-3714-2000110","DEMATIC","MANZANILLO","MONTERREY","ERIK CASTILLO RODRIGUEZ","98AF9K","CTA TERCEROS 611","------","ENTREGADO","14/05/2022","I 165","","","","","","","","","","","","","","","",""
"23","COMERCIALIZADORA","","355461","MULTIMODAL","FE9713A","14/2/2022","9:00","150 KG","CARGA SUELTA","22-16-3010-2001101","ARGO","MANZANILLO","QUERETARO","JORGE MANZO","FE9713A","614","------","ENTREGADO","16/05/2022","S 001","","","","","","","","","","","","","","","",""
"24","LOGISTIC PLUS _ DIEGO","WELLDEX","522855V","TIMSA","38AV7C","18/5/2022","10:00","40 HC/ 20,062 KG","HMCU9197117","22-16-3200-2006757","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","618","ISL","ENTREGADO","20/5/2022","I 172","","","","","","","","","","","","","","","",""
"25","WELLINGTON","ROBEJOMA","3398374","OCUPA","19AT6G","18/5/2022","8:00","20 DC/1,896KG","CAIU3183062","22-16-3708-2000500","ARGO","MANZANILLO","QUERETARO","ANTONIO","19AT6G","616","IMPALA","ENTREGADO","19/05/2022","I 177","","","","","","","","","","","","","","","",""
"26","LOGISTIC PLUS - DIEGO","WELLDEX","1435725","SSA","14AS4V","18/5/2022","16:00","40HC 15920 KG/20DC 16987 KG","CAIU7488692/TTNU1185381","22-16-3200-2006829","KARCHER","MANZANILLO","MONTERREY","FIDEL/ PABLO","64AK5A/38AV7C","672/627","TIMSA","ENTREGADO","01/07 - 25/05/2022","S 005/ S 007","","","","","","","","","","","","","","","",""
"27","LOGISTIC PLUS - CINTHYA","RB GROUP","2656299#1","CONTECON","34AF2Y","18/5/2022","TIMSA","2270/ 22,000KG","BLKU2530320","22-16-3171-2000993","THERMOTECK","MANZANILLO","MONTERREY","ENRIQUE LORENZO"," ","CTA TERCEROS 617","TIMSA","ENTREGADO","19/05/2022","I 171","","","","","","","","","","","","","","","",""
